name,points,avatar
Lydia,0,assets/avatars/Lydia.jpeg
Lilly,0,assets/avatars/lilly.jpeg
Len,0,assets/avatars/len.jpeg
Habiba,0,assets/avatars/habiba.jpeg
Jonny,0,assets/avatars/jonny.jpeg
Aries,0,https://github.com/liddyt100/VillaOlympics/blob/main/VillaOlympicsWebApp/Assets/Avatars/aries.jpeg?raw=true
Gem,0,assets/avatars/gem.jpeg
